Field=3DR_PARTNO~String~3DR_PARTNO~100|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Unit Price 1~String~Supplier Unit Price 1~100|Field=Value~String~Value~100|ReportField=Currency~USD|ReportField=ProductionQuantity~5000|ReportField=ProjectFileName~PCA_0005_FULL_CB_REV_B.PrjPcb|ReportField=ProjectFullPath~F:\Current_Work\00_0_git\px4_hardware\future_designs\Next_Release_Consult_Phil_before_Changing\PCA_0005_FULL_CB_REV_B\PCA_0005_FULL_CB_REV_B.PrjPcb|ReportField=Title~Bill of Materials For Variant [PCA_0012_INTEL_CB] of Project [PCA_0005_FULL_CB_REV_B.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~91|ReportField=ReportTime~2:14:39 PM|ReportField=ReportDate~10/06/2015|ReportField=ReportDateTime~10/06/2015 2:14:39 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~PCA_0012_INTEL_CB|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~10/06/2015|ReportField=CurrentTime~2:14:16 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~F:\Current_Work\00_0_git\px4_hardware\future_designs\Next_Release_Consult_Phil_before_Changing\PCA_0005_FULL_CB_REV_B\PCA_0005_FULL_CB_80_Pin_REV_B.SchDoc|ReportField=DocumentName~PCA_0005_FULL_CB_80_Pin_REV_B.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Philip Rowse|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~12/05/2015|ReportField=Organization~|ReportField=ProjectName~PCA_0005_FULL_CB_REV_B.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~PCA_0005_FULL_CB_REV_B.PrjPcb|ReportField=DataSourceFullPath~F:\Current_Work\00_0_git\px4_hardware\future_designs\Next_Release_Consult_Phil_before_Changing\PCA_0005_FULL_CB_REV_B\PCA_0005_FULL_CB_REV_B.PrjPcb
||DO NOT PLACE|3DR_LOGO1|3DR_Small|3DR_LOGO|||1||||||||
||DO NOT PLACE|3DR_LOGO2, 3DR_LOGO3|3DR_smaller|3DR_LOGO|||2||||||||
PCB0006|PCB, Carrier Full, PX2, Board|PCB, Carrier Full, PX2, Board|?||PCB0006|||1||||||||
|PAD.04|DNF|ADC_PR, D_RDY1, SPI!CS1, SPI_MISO1, SPI_MOSI1, SPI_SCK1|PAD.04X.04|PAD.04|DNF|Supplier disabled|6|DNF|Supplier disabled||DNF|||0|
|||BATT600|MS621FE|MS621FE|Supplier disabled|Supplier disabled|1|Digikey|Supplier disabled||TS621FE-FL11E-ND|||Supplier disabled|
|||C600|0603-CAP|CAP0603|Murata Electronics North America|GRM188R60J226MEA0D|1|Digi-Key|USD|5000|490-7611-1-ND|4000|328.50946|0.0657|
|10.00UF||C601|0805-CAP|CAP0805|Murata Electronics North America|GRM21BR61E106KA73L|1|Digi-Key|USD|5000|490-5523-6-ND|722546|442.34253|0.08847|
|0u1||C602, C604, C605|0402-CAP|CAP0402|Yageo|CC0402ZRY5V7BB104|3|Digi-Key|USD|15000|311-1047-1-ND|2703370|41.73623|0.00278|
|33000pf|CAPC,X5R,0402,0.033UF,6.3V,+/- 10%|C603|0402-CAP|CAP0402|Murata Electronics North America|GRM033R60J333KE01D|1|Digi-Key|USD|5000|490-3170-6-ND|452522|46.42483|0.00928|
ECM0837|DIODE-TVS|Diode, TVS, 14VWM, 40VC, 0402, SMD|D100, D101, D102, D103, D104, D105, D106, D107, D108, D301|0402-TVS|DIODE-TVS|TE Connectivity / Raychem|PESD0402-140|10|Mouser|USD|50000|650-PESD0402-140|182567|4611.73789|0.09223|
ECM0900|MSS1P4-M3||D300|MICROSMP|DIODE-SCHOTTKY_MSMP|Loading...|Loading...|1|Newark|Loading...||15R2105|||Loading...|
PRT0437|HEADER_2MM_RA_SMD|Connector, PCB, 2MM, 2Pos, R/A, SMD, Au|JP100|HEADER_2MM_RA_2|HEADER_2MM_RA_SMD|Preci-Dip|830-10-002-40-001101|1|Digi-Key|USD|5000|830-10-002-40-001101-ND|0|1168.92183|0.23378|
ECM0719|Kyocera KNH16C104DA5TS EMI filter|Capacitor, Filter, 0.1uF, 25V, 2A, 0603, SMD|L100, L101, L102, L103, L104, L105, L106, L107, L300|KYOCERA-KNH16-DA|KNH16C104DA5TS|AVX Corp/Kyocera Corp|KNH16C104DA5TS|9|Digi-Key|USD|45000|478-6878-1-ND|309328|4521.00195|0.10047|
|XFL4020-222MEB|XFL4020-222MEB|L600|XFL4020|INDUCTOR-XFL4020|Coilcraft|XFL4020-222MEB|1|Mouser|USD|5000|994-XFL4020-222MEB|5793|4342.71984|0.86854|
|||L601|0805-IND|INDUCTOR0805|Laird-Signal Integrity Products|MI0805K400R-10|1|Digi-Key|USD|5000|240-2389-6-ND|231154|144.92386|0.02898|
